연도,정규직(일반),정규직(장애),공무직,인턴(일반),인턴(장애인)
2020,630,40,11,0,0
2021,188,13,0,60,0
2022,129,9,25,60,0
2023,88,6,12,57,3
2024,109,18,0,50,10
